scrape_timestamp,ASIN,Title,Product_URL,Image,Price,Rating,Reviews_Count,Seller_Snippet,Result_Type
2025-11-15T11:27:07.245786,B0F2TMZJ24,,,https://m.media-amazon.com/images/I/61QY1NrWQBL._AC_UY218_.jpg,14990,3.8,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.256195,B0FDLB7BQZ,,,https://m.media-amazon.com/images/I/713cu-sW3TL._AC_UY218_.jpg,14990,4.5,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.268294,B0CHRNQBCR,,,https://m.media-amazon.com/images/I/81LbQEPiFnL._AC_UY218_.jpg,19999,2.8,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.279568,B0FNRHPKVL,,,https://m.media-amazon.com/images/I/61CSymKO2QL._AC_UY218_.jpg,19990,3.5,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.289506,B0CJBL2QWY,,,https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,32990,4.0,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.297690,B0D2Y1BLDT,,,https://m.media-amazon.com/images/I/712WiT-wexL._AC_UY218_.jpg,55990,3.7,,Save extra with No Cost EMI Save extra with No Cost EMI,Ad
2025-11-15T11:27:07.308310,B0FCY7BTCX,,,https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,62390,4.3,,"FREE delivery Mon, 17 Nov",Ad
2025-11-15T11:27:07.317322,B0FH71SN5N,,,https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,47400,4.2,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.330110,B0DTYF29BG,,,https://m.media-amazon.com/images/I/71EwQWH7UvL._AC_UY218_.jpg,34750,3.9,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.340066,B0FFYH9N2K,,,https://m.media-amazon.com/images/I/61WPsjqpo-L._AC_UY218_.jpg,699,3.8,,"FREE delivery Mon, 17 Nov Or fastest delivery Today",Organic
2025-11-15T11:27:07.349818,B0C376RWQP,,,https://m.media-amazon.com/images/I/51B4emQb6yL._AC_UY218_.jpg,229,3.5,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Today",Organic
2025-11-15T11:27:07.360920,B0DZDX3JF4,,,https://m.media-amazon.com/images/I/711NKCLZfaL._AC_UY218_.jpg,94990,4.6,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.370519,B0FPGK13JQ,,,https://m.media-amazon.com/images/I/61EAc0XaQ9L._AC_UY218_.jpg,88990,3.0,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.378314,B0D9FL2BHZ,,,https://m.media-amazon.com/images/I/71leDSNPrUL._AC_UY218_.jpg,299,4.2,,"FREE delivery Tue, 18 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.386428,B0DZDDV7GC,,,https://m.media-amazon.com/images/I/71CjP9jmqZL._AC_UY218_.jpg,92900,4.6,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:07.393872,B0FG2RJ9NC,,,https://m.media-amazon.com/images/I/7156bBh8W2L._AC_UY218_.jpg,40990,3.8,,"FREE delivery Mon, 17 Nov",Ad
2025-11-15T11:27:07.401647,B0F8QFMXJ7,,,https://m.media-amazon.com/images/I/81Be1f26lVL._AC_UY218_.jpg,37990,3.7,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:27:28.013185,B0DSFQZTVW,,,https://m.media-amazon.com/images/I/710ChwsODKL._AC_UY218_.jpg,59990,3.9,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:27:28.021285,B0D2Y1BLDT,,,https://m.media-amazon.com/images/I/712WiT-wexL._AC_UY218_.jpg,55990,3.7,,Save extra with No Cost EMI Save extra with No Cost EMI,Ad
2025-11-15T11:27:28.027787,B0CWS3V8QN,,,https://m.media-amazon.com/images/I/61i05gGBl3L._AC_UY218_.jpg,999,4.2,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:28.034292,B0BTNT8X6K,,,https://m.media-amazon.com/images/I/61QxfC9mAGL._AC_UY218_.jpg,289,4.1,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Tomorrow, 16 Nov",Organic
